date,month,year, pm25
1,12,2021,274
2,12,2021,347
3,12,2021,265
4,12,2021,224
5,12,2021,207
6,12,2021,215
7,12,2021,178
8,12,2021,183
9,12,2021,203
10,12,2021,209
11,12,2021,182
12,12,2021,187
13,12,2021,214
14,12,2021,282
1,11,2021,181
2,11,2021,188
3,11,2021,202
4,11,2021,350
5,11,2021,398
6,11,2021,381
7,11,2021,298
8,11,2021,294
9,11,2021,310
10,11,2021,269
11,11,2021,331
12,11,2021,437
13,11,2021,331
14,11,2021,211
15,11,2021,239
16,11,2021,303
17,11,2021,245
18,11,2021,230
19,11,2021,273
20,11,2021,254
21,11,2021,255
22,11,2021,211
23,11,2021,195
24,11,2021,250
25,11,2021,298
26,11,2021,305
27,11,2021,267
28,11,2021,321
29,11,2021,278
30,11,2021,232
1,10,2021,118
2,10,2021,131
3,10,2021,109
4,10,2021,82
5,10,2021,103
6,10,2021,123
7,10,2021,153
8,10,2021,157
9,10,2021,153
10,10,2021,136
11,10,2021,129
12,10,2021,155
13,10,2021,143
14,10,2021,155
15,10,2021,170
16,10,2021,210
17,10,2021,176
18,10,2021,47
19,10,2021,123
20,10,2021,173
21,10,2021,146
22,10,2021,120
23,10,2021,131
24,10,2021,137
25,10,2021,109
26,10,2021,153
27,10,2021,179
28,10,2021,192
29,10,2021,190
30,10,2021,185
31,10,2021,191
1,9,2021,63
2,9,2021,76
3,9,2021,65
4,9,2021,67
5,9,2021,96
6,9,2021,110
7,9,2021,111
8,9,2021,69
9,9,2021,81
10,9,2021,85
11,9,2021,61
12,9,2021,74
13,9,2021,96
14,9,2021,74
15,9,2021,55
16,9,2021,62
17,9,2021,66
18,9,2021,88
19,9,2021,75
20,9,2021,78
21,9,2021,83
22,9,2021,75
23,9,2021,71
24,9,2021,69
25,9,2021,104
26,9,2021,95
27,9,2021,127
28,9,2021,110
29,9,2021,81
30,9,2021,88
1,8,2021,77
2,8,2021,113
3,8,2021,83
4,8,2021,65
5,8,2021,101
6,8,2021,123
7,8,2021,100
8,8,2021,111
9,8,2021,126
10,8,2021,99
11,8,2021,80
12,8,2021,83
13,8,2021,85
14,8,2021,81
15,8,2021,85
16,8,2021,96
17,8,2021,119
18,8,2021,138
19,8,2021,153
20,8,2021,104
21,8,2021,66
22,8,2021,94
23,8,2021,89
24,8,2021,109
25,8,2021,91
26,8,2021,83
27,8,2021,113
28,8,2021,121
29,8,2021,124
30,8,2021,74
31,8,2021,58
1,7,2021,114
2,7,2021,124
3,7,2021,102
4,7,2021,128
5,7,2021,114
6,7,2021,117
7,7,2021,117
8,7,2021,118
9,7,2021,125
10,7,2021,86
11,7,2021,113
12,7,2021,89
13,7,2021,78
14,7,2021,84
15,7,2021,110
16,7,2021,103
17,7,2021,113
18,7,2021,81
19,7,2021,38
20,7,2021,86
21,7,2021,94
22,7,2021,77
23,7,2021,81
24,7,2021,99
25,7,2021,90
26,7,2021,117
27,7,2021,91
28,7,2021,54
29,7,2021,72
